Fitness,Depth,Nodes,Generations,time_since_the_start_of_the_evolution,seed,genotype_as_str,productions
3.0,5,18,1,0.03583168983459473,27,"ActionBlock(actions=[Move(), Left(), IfFood(yes_food=Move(), no_food=IfFood(yes_food=Move(), no_food=Right())), Left(), Right(), IfFood(yes_food=IfFood(yes_food=Move(), no_food=IfFood(yes_food=Left(), no_food=IfFood(yes_food=Left(), no_food=Right()))), no_food=Move()), Left(), Right(), Move(), IfFood(yes_food=IfFood(yes_food=Left(), no_food=Left()), no_food=Left()), IfFood(yes_food=Left(), no_food=Left()), Move(), IfFood(yes_food=Move(), no_food=Right()), IfFood(yes_food=IfFood(yes_food=Move(), no_food=Left()), no_food=Move()), Left(), IfFood(yes_food=IfFood(yes_food=Left(), no_food=Left()), no_food=Move()), IfFood(yes_food=Left(), no_food=IfFood(yes_food=Move(), no_food=Right())), Right(), IfFood(yes_food=Right(), no_food=Left())])","{<class 'examples.santafe.ActionMain'>: 1, <class 'examples.santafe.IfFood'>: 0, <class 'examples.santafe.Left'>: 0, <class 'examples.santafe.ActionBlock'>: 1, <class 'examples.santafe.Right'>: 0, <class 'examples.santafe.Action'>: 0, <class 'examples.santafe.Move'>: 0}"
3.0,5,18,2,0.06448101997375488,27,"ActionBlock(actions=[Move(), Left(), IfFood(yes_food=Move(), no_food=IfFood(yes_food=Move(), no_food=Right())), Left(), Right(), IfFood(yes_food=IfFood(yes_food=Move(), no_food=IfFood(yes_food=Left(), no_food=IfFood(yes_food=Left(), no_food=Right()))), no_food=Move()), Left(), Right(), Move(), IfFood(yes_food=IfFood(yes_food=Left(), no_food=Left()), no_food=Left()), IfFood(yes_food=Left(), no_food=Left()), Move(), IfFood(yes_food=Move(), no_food=Right()), IfFood(yes_food=IfFood(yes_food=Move(), no_food=Left()), no_food=Move()), Left(), IfFood(yes_food=IfFood(yes_food=Left(), no_food=Left()), no_food=Move()), IfFood(yes_food=Left(), no_food=IfFood(yes_food=Move(), no_food=Right())), Right(), IfFood(yes_food=Right(), no_food=Left())])","{<class 'examples.santafe.ActionMain'>: 1, <class 'examples.santafe.IfFood'>: 0, <class 'examples.santafe.Left'>: 0, <class 'examples.santafe.ActionBlock'>: 1, <class 'examples.santafe.Right'>: 0, <class 'examples.santafe.Action'>: 0, <class 'examples.santafe.Move'>: 0}"
4.0,5,16,3,0.09549951553344727,27,"ActionBlock(actions=[Move(), Left(), IfFood(yes_food=Move(), no_food=IfFood(yes_food=Move(), no_food=Right())), Move(), Move(), Left(), IfFood(yes_food=Right(), no_food=Left()), IfFood(yes_food=Right(), no_food=Right()), Move(), IfFood(yes_food=IfFood(yes_food=IfFood(yes_food=Right(), no_food=Move()), no_food=Right()), no_food=Right()), Left(), IfFood(yes_food=Move(), no_food=Move()), IfFood(yes_food=IfFood(yes_food=Left(), no_food=Left()), no_food=IfFood(yes_food=IfFood(yes_food=Right(), no_food=IfFood(yes_food=Right(), no_food=Right())), no_food=Move())), Move(), IfFood(yes_food=Right(), no_food=Right()), Left(), Move(), Move(), Left(), Right(), Move(), Left(), Right(), Left(), Left(), Left(), IfFood(yes_food=Move(), no_food=Right())])","{<class 'examples.santafe.ActionMain'>: 1, <class 'examples.santafe.IfFood'>: 0, <class 'examples.santafe.Left'>: 0, <class 'examples.santafe.ActionBlock'>: 1, <class 'examples.santafe.Right'>: 0, <class 'examples.santafe.Action'>: 0, <class 'examples.santafe.Move'>: 0}"
4.0,5,16,4,0.1273808479309082,27,"ActionBlock(actions=[Move(), Left(), IfFood(yes_food=Move(), no_food=IfFood(yes_food=Move(), no_food=Right())), Move(), Move(), Left(), IfFood(yes_food=Right(), no_food=Left()), IfFood(yes_food=Right(), no_food=Right()), Move(), IfFood(yes_food=IfFood(yes_food=IfFood(yes_food=Right(), no_food=Move()), no_food=Right()), no_food=Right()), Left(), IfFood(yes_food=Move(), no_food=Move()), IfFood(yes_food=IfFood(yes_food=Left(), no_food=Left()), no_food=IfFood(yes_food=IfFood(yes_food=Right(), no_food=IfFood(yes_food=Right(), no_food=Right())), no_food=Move())), Move(), IfFood(yes_food=Right(), no_food=Right()), Left(), Move(), Move(), Left(), Right(), Move(), Left(), Right(), Left(), Left(), Left(), IfFood(yes_food=Move(), no_food=Right())])","{<class 'examples.santafe.ActionMain'>: 1, <class 'examples.santafe.IfFood'>: 0, <class 'examples.santafe.Left'>: 0, <class 'examples.santafe.ActionBlock'>: 1, <class 'examples.santafe.Right'>: 0, <class 'examples.santafe.Action'>: 0, <class 'examples.santafe.Move'>: 0}"
4.0,5,16,5,0.2411646842956543,27,"ActionBlock(actions=[Move(), Left(), IfFood(yes_food=Move(), no_food=IfFood(yes_food=Move(), no_food=Right())), Move(), Move(), Left(), IfFood(yes_food=Right(), no_food=Left()), IfFood(yes_food=Right(), no_food=Right()), Move(), IfFood(yes_food=IfFood(yes_food=IfFood(yes_food=Right(), no_food=Move()), no_food=Right()), no_food=Right()), Left(), IfFood(yes_food=Move(), no_food=Move()), IfFood(yes_food=IfFood(yes_food=Left(), no_food=Left()), no_food=IfFood(yes_food=IfFood(yes_food=Right(), no_food=IfFood(yes_food=Right(), no_food=Right())), no_food=Move())), Move(), IfFood(yes_food=Right(), no_food=Right()), Left(), Move(), Move(), Left(), Right(), Move(), Left(), Right(), Left(), Left(), Left(), IfFood(yes_food=Move(), no_food=Right())])","{<class 'examples.santafe.ActionMain'>: 1, <class 'examples.santafe.IfFood'>: 0, <class 'examples.santafe.Left'>: 0, <class 'examples.santafe.ActionBlock'>: 1, <class 'examples.santafe.Right'>: 0, <class 'examples.santafe.Action'>: 0, <class 'examples.santafe.Move'>: 0}"
4.0,5,16,6,0.28458571434020996,27,"ActionBlock(actions=[Move(), Left(), IfFood(yes_food=Move(), no_food=IfFood(yes_food=Move(), no_food=Right())), Move(), Move(), Left(), IfFood(yes_food=Right(), no_food=Left()), IfFood(yes_food=Right(), no_food=Right()), Move(), IfFood(yes_food=IfFood(yes_food=IfFood(yes_food=Right(), no_food=Move()), no_food=Right()), no_food=Right()), Left(), IfFood(yes_food=Move(), no_food=Move()), IfFood(yes_food=IfFood(yes_food=Left(), no_food=Left()), no_food=IfFood(yes_food=IfFood(yes_food=Right(), no_food=IfFood(yes_food=Right(), no_food=Right())), no_food=Move())), Move(), IfFood(yes_food=Right(), no_food=Right()), Left(), Move(), Move(), Left(), Right(), Move(), Left(), Right(), Left(), Left(), Left(), IfFood(yes_food=Move(), no_food=Right())])","{<class 'examples.santafe.ActionMain'>: 1, <class 'examples.santafe.IfFood'>: 0, <class 'examples.santafe.Left'>: 0, <class 'examples.santafe.ActionBlock'>: 1, <class 'examples.santafe.Right'>: 0, <class 'examples.santafe.Action'>: 0, <class 'examples.santafe.Move'>: 0}"
4.0,5,16,7,0.31549692153930664,27,"ActionBlock(actions=[Move(), Left(), IfFood(yes_food=Move(), no_food=IfFood(yes_food=Move(), no_food=Right())), Move(), Move(), Left(), IfFood(yes_food=Right(), no_food=Left()), IfFood(yes_food=Right(), no_food=Right()), Move(), IfFood(yes_food=IfFood(yes_food=IfFood(yes_food=Right(), no_food=Move()), no_food=Right()), no_food=Right()), Left(), IfFood(yes_food=Move(), no_food=Move()), IfFood(yes_food=IfFood(yes_food=Left(), no_food=Left()), no_food=IfFood(yes_food=IfFood(yes_food=Right(), no_food=IfFood(yes_food=Right(), no_food=Right())), no_food=Move())), Move(), IfFood(yes_food=Right(), no_food=Right()), Left(), Move(), Move(), Left(), Right(), Move(), Left(), Right(), Left(), Left(), Left(), IfFood(yes_food=Move(), no_food=Right())])","{<class 'examples.santafe.ActionMain'>: 1, <class 'examples.santafe.IfFood'>: 0, <class 'examples.santafe.Left'>: 0, <class 'examples.santafe.ActionBlock'>: 1, <class 'examples.santafe.Right'>: 0, <class 'examples.santafe.Action'>: 0, <class 'examples.santafe.Move'>: 0}"
4.0,5,16,8,0.35688066482543945,27,"ActionBlock(actions=[Move(), Left(), IfFood(yes_food=Move(), no_food=IfFood(yes_food=Move(), no_food=Right())), Move(), Move(), Left(), IfFood(yes_food=Right(), no_food=Left()), IfFood(yes_food=Right(), no_food=Right()), Move(), IfFood(yes_food=IfFood(yes_food=IfFood(yes_food=Right(), no_food=Move()), no_food=Right()), no_food=Right()), Left(), IfFood(yes_food=Move(), no_food=Move()), IfFood(yes_food=IfFood(yes_food=Left(), no_food=Left()), no_food=IfFood(yes_food=IfFood(yes_food=Right(), no_food=IfFood(yes_food=Right(), no_food=Right())), no_food=Move())), Move(), IfFood(yes_food=Right(), no_food=Right()), Left(), Move(), Move(), Left(), Right(), Move(), Left(), Right(), Left(), Left(), Left(), IfFood(yes_food=Move(), no_food=Right())])","{<class 'examples.santafe.ActionMain'>: 1, <class 'examples.santafe.IfFood'>: 0, <class 'examples.santafe.Left'>: 0, <class 'examples.santafe.ActionBlock'>: 1, <class 'examples.santafe.Right'>: 0, <class 'examples.santafe.Action'>: 0, <class 'examples.santafe.Move'>: 0}"
4.0,5,16,9,0.39087581634521484,27,"ActionBlock(actions=[Move(), Left(), IfFood(yes_food=Move(), no_food=IfFood(yes_food=Move(), no_food=Right())), Move(), Move(), Left(), IfFood(yes_food=Right(), no_food=Left()), IfFood(yes_food=Right(), no_food=Right()), Move(), IfFood(yes_food=IfFood(yes_food=IfFood(yes_food=Right(), no_food=Move()), no_food=Right()), no_food=Right()), Left(), IfFood(yes_food=Move(), no_food=Move()), IfFood(yes_food=IfFood(yes_food=Left(), no_food=Left()), no_food=IfFood(yes_food=IfFood(yes_food=Right(), no_food=IfFood(yes_food=Right(), no_food=Right())), no_food=Move())), Move(), IfFood(yes_food=Right(), no_food=Right()), Left(), Move(), Move(), Left(), Right(), Move(), Left(), Right(), Left(), Left(), Left(), IfFood(yes_food=Move(), no_food=Right())])","{<class 'examples.santafe.ActionMain'>: 1, <class 'examples.santafe.IfFood'>: 0, <class 'examples.santafe.Left'>: 0, <class 'examples.santafe.ActionBlock'>: 1, <class 'examples.santafe.Right'>: 0, <class 'examples.santafe.Action'>: 0, <class 'examples.santafe.Move'>: 0}"
4.0,5,16,10,0.4266085624694824,27,"ActionBlock(actions=[Move(), Left(), IfFood(yes_food=Move(), no_food=IfFood(yes_food=Move(), no_food=Right())), Move(), Move(), Left(), IfFood(yes_food=Right(), no_food=Left()), IfFood(yes_food=Right(), no_food=Right()), Move(), IfFood(yes_food=IfFood(yes_food=IfFood(yes_food=Right(), no_food=Move()), no_food=Right()), no_food=Right()), Left(), IfFood(yes_food=Move(), no_food=Move()), IfFood(yes_food=IfFood(yes_food=Left(), no_food=Left()), no_food=IfFood(yes_food=IfFood(yes_food=Right(), no_food=IfFood(yes_food=Right(), no_food=Right())), no_food=Move())), Move(), IfFood(yes_food=Right(), no_food=Right()), Left(), Move(), Move(), Left(), Right(), Move(), Left(), Right(), Left(), Left(), Left(), IfFood(yes_food=Move(), no_food=Right())])","{<class 'examples.santafe.ActionMain'>: 1, <class 'examples.santafe.IfFood'>: 0, <class 'examples.santafe.Left'>: 0, <class 'examples.santafe.ActionBlock'>: 1, <class 'examples.santafe.Right'>: 0, <class 'examples.santafe.Action'>: 0, <class 'examples.santafe.Move'>: 0}"
4.0,5,16,11,0.46215391159057617,27,"ActionBlock(actions=[Move(), Left(), IfFood(yes_food=Move(), no_food=IfFood(yes_food=Move(), no_food=Right())), Move(), Move(), Left(), IfFood(yes_food=Right(), no_food=Left()), IfFood(yes_food=Right(), no_food=Right()), Move(), IfFood(yes_food=IfFood(yes_food=IfFood(yes_food=Right(), no_food=Move()), no_food=Right()), no_food=Right()), Left(), IfFood(yes_food=Move(), no_food=Move()), IfFood(yes_food=IfFood(yes_food=Left(), no_food=Left()), no_food=IfFood(yes_food=IfFood(yes_food=Right(), no_food=IfFood(yes_food=Right(), no_food=Right())), no_food=Move())), Move(), IfFood(yes_food=Right(), no_food=Right()), Left(), Move(), Move(), Left(), Right(), Move(), Left(), Right(), Left(), Left(), Left(), IfFood(yes_food=Move(), no_food=Right())])","{<class 'examples.santafe.ActionMain'>: 1, <class 'examples.santafe.IfFood'>: 0, <class 'examples.santafe.Left'>: 0, <class 'examples.santafe.ActionBlock'>: 1, <class 'examples.santafe.Right'>: 0, <class 'examples.santafe.Action'>: 0, <class 'examples.santafe.Move'>: 0}"
4.0,5,16,12,0.49788522720336914,27,"ActionBlock(actions=[Move(), Left(), IfFood(yes_food=Move(), no_food=IfFood(yes_food=Move(), no_food=Right())), Move(), Move(), Left(), IfFood(yes_food=Right(), no_food=Left()), IfFood(yes_food=Right(), no_food=Right()), Move(), IfFood(yes_food=IfFood(yes_food=IfFood(yes_food=Right(), no_food=Move()), no_food=Right()), no_food=Right()), Left(), IfFood(yes_food=Move(), no_food=Move()), IfFood(yes_food=IfFood(yes_food=Left(), no_food=Left()), no_food=IfFood(yes_food=IfFood(yes_food=Right(), no_food=IfFood(yes_food=Right(), no_food=Right())), no_food=Move())), Move(), IfFood(yes_food=Right(), no_food=Right()), Left(), Move(), Move(), Left(), Right(), Move(), Left(), Right(), Left(), Left(), Left(), IfFood(yes_food=Move(), no_food=Right())])","{<class 'examples.santafe.ActionMain'>: 1, <class 'examples.santafe.IfFood'>: 0, <class 'examples.santafe.Left'>: 0, <class 'examples.santafe.ActionBlock'>: 1, <class 'examples.santafe.Right'>: 0, <class 'examples.santafe.Action'>: 0, <class 'examples.santafe.Move'>: 0}"
4.0,5,16,13,0.5294530391693115,27,"ActionBlock(actions=[Move(), Left(), IfFood(yes_food=Move(), no_food=IfFood(yes_food=Move(), no_food=Right())), Move(), Move(), Left(), IfFood(yes_food=Right(), no_food=Left()), IfFood(yes_food=Right(), no_food=Right()), Move(), IfFood(yes_food=IfFood(yes_food=IfFood(yes_food=Right(), no_food=Move()), no_food=Right()), no_food=Right()), Left(), IfFood(yes_food=Move(), no_food=Move()), IfFood(yes_food=IfFood(yes_food=Left(), no_food=Left()), no_food=IfFood(yes_food=IfFood(yes_food=Right(), no_food=IfFood(yes_food=Right(), no_food=Right())), no_food=Move())), Move(), IfFood(yes_food=Right(), no_food=Right()), Left(), Move(), Move(), Left(), Right(), Move(), Left(), Right(), Left(), Left(), Left(), IfFood(yes_food=Move(), no_food=Right())])","{<class 'examples.santafe.ActionMain'>: 1, <class 'examples.santafe.IfFood'>: 0, <class 'examples.santafe.Left'>: 0, <class 'examples.santafe.ActionBlock'>: 1, <class 'examples.santafe.Right'>: 0, <class 'examples.santafe.Action'>: 0, <class 'examples.santafe.Move'>: 0}"
4.0,5,16,14,0.5694587230682373,27,"ActionBlock(actions=[Move(), Left(), IfFood(yes_food=Move(), no_food=IfFood(yes_food=Move(), no_food=Right())), Move(), Move(), Left(), IfFood(yes_food=Right(), no_food=Left()), IfFood(yes_food=Right(), no_food=Right()), Move(), IfFood(yes_food=IfFood(yes_food=IfFood(yes_food=Right(), no_food=Move()), no_food=Right()), no_food=Right()), Left(), IfFood(yes_food=Move(), no_food=Move()), IfFood(yes_food=IfFood(yes_food=Left(), no_food=Left()), no_food=IfFood(yes_food=IfFood(yes_food=Right(), no_food=IfFood(yes_food=Right(), no_food=Right())), no_food=Move())), Move(), IfFood(yes_food=Right(), no_food=Right()), Left(), Move(), Move(), Left(), Right(), Move(), Left(), Right(), Left(), Left(), Left(), IfFood(yes_food=Move(), no_food=Right())])","{<class 'examples.santafe.ActionMain'>: 1, <class 'examples.santafe.IfFood'>: 0, <class 'examples.santafe.Left'>: 0, <class 'examples.santafe.ActionBlock'>: 1, <class 'examples.santafe.Right'>: 0, <class 'examples.santafe.Action'>: 0, <class 'examples.santafe.Move'>: 0}"
4.0,5,16,15,0.6093709468841553,27,"ActionBlock(actions=[Move(), Left(), IfFood(yes_food=Move(), no_food=IfFood(yes_food=Move(), no_food=Right())), Move(), Move(), Left(), IfFood(yes_food=Right(), no_food=Left()), IfFood(yes_food=Right(), no_food=Right()), Move(), IfFood(yes_food=IfFood(yes_food=IfFood(yes_food=Right(), no_food=Move()), no_food=Right()), no_food=Right()), Left(), IfFood(yes_food=Move(), no_food=Move()), IfFood(yes_food=IfFood(yes_food=Left(), no_food=Left()), no_food=IfFood(yes_food=IfFood(yes_food=Right(), no_food=IfFood(yes_food=Right(), no_food=Right())), no_food=Move())), Move(), IfFood(yes_food=Right(), no_food=Right()), Left(), Move(), Move(), Left(), Right(), Move(), Left(), Right(), Left(), Left(), Left(), IfFood(yes_food=Move(), no_food=Right())])","{<class 'examples.santafe.ActionMain'>: 1, <class 'examples.santafe.IfFood'>: 0, <class 'examples.santafe.Left'>: 0, <class 'examples.santafe.ActionBlock'>: 1, <class 'examples.santafe.Right'>: 0, <class 'examples.santafe.Action'>: 0, <class 'examples.santafe.Move'>: 0}"
5.0,4,22,16,0.6527469158172607,27,"ActionBlock(actions=[Right(), Left(), Move(), IfFood(yes_food=IfFood(yes_food=Move(), no_food=Move()), no_food=Move()), IfFood(yes_food=Move(), no_food=Left()), Left(), IfFood(yes_food=Right(), no_food=IfFood(yes_food=Left(), no_food=Left())), Left(), Move(), Right(), IfFood(yes_food=IfFood(yes_food=Left(), no_food=Right()), no_food=IfFood(yes_food=Left(), no_food=Left())), IfFood(yes_food=IfFood(yes_food=Right(), no_food=Right()), no_food=Move()), Left(), Move(), IfFood(yes_food=Left(), no_food=Left()), IfFood(yes_food=IfFood(yes_food=Move(), no_food=Right()), no_food=IfFood(yes_food=Left(), no_food=Right())), IfFood(yes_food=Left(), no_food=Right()), Left(), Left(), Right(), IfFood(yes_food=IfFood(yes_food=Right(), no_food=Move()), no_food=Move()), Right(), Move(), IfFood(yes_food=IfFood(yes_food=IfFood(yes_food=Right(), no_food=Move()), no_food=Move()), no_food=Move())])","{<class 'examples.santafe.ActionMain'>: 1, <class 'examples.santafe.IfFood'>: 0, <class 'examples.santafe.Left'>: 0, <class 'examples.santafe.ActionBlock'>: 1, <class 'examples.santafe.Right'>: 0, <class 'examples.santafe.Action'>: 0, <class 'examples.santafe.Move'>: 0}"
5.0,4,22,17,0.687614917755127,27,"ActionBlock(actions=[Right(), Left(), Move(), IfFood(yes_food=IfFood(yes_food=Move(), no_food=Move()), no_food=Move()), IfFood(yes_food=Move(), no_food=Left()), Left(), IfFood(yes_food=Right(), no_food=IfFood(yes_food=Left(), no_food=Left())), Left(), Move(), Right(), IfFood(yes_food=IfFood(yes_food=Left(), no_food=Right()), no_food=IfFood(yes_food=Left(), no_food=Left())), IfFood(yes_food=IfFood(yes_food=Right(), no_food=Right()), no_food=Move()), Left(), Move(), IfFood(yes_food=Left(), no_food=Left()), IfFood(yes_food=IfFood(yes_food=Move(), no_food=Right()), no_food=IfFood(yes_food=Left(), no_food=Right())), IfFood(yes_food=Left(), no_food=Right()), Left(), Left(), Right(), IfFood(yes_food=IfFood(yes_food=Right(), no_food=Move()), no_food=Move()), Right(), Move(), IfFood(yes_food=IfFood(yes_food=IfFood(yes_food=Right(), no_food=Move()), no_food=Move()), no_food=Move())])","{<class 'examples.santafe.ActionMain'>: 1, <class 'examples.santafe.IfFood'>: 0, <class 'examples.santafe.Left'>: 0, <class 'examples.santafe.ActionBlock'>: 1, <class 'examples.santafe.Right'>: 0, <class 'examples.santafe.Action'>: 0, <class 'examples.santafe.Move'>: 0}"
