Fitness,Depth,Nodes,Generations,time_since_the_start_of_the_evolution,seed,genotype_as_str,productions
6.0,4,18,11,0.5948567390441895,7,"ActionBlock(actions=[Left(), Right(), IfFood(yes_food=Left(), no_food=Right()), Left(), Left(), Right(), Right(), Move(), Left(), IfFood(yes_food=IfFood(yes_food=Right(), no_food=Move()), no_food=IfFood(yes_food=Left(), no_food=Left())), Left(), Move(), Right(), IfFood(yes_food=Move(), no_food=IfFood(yes_food=Right(), no_food=Move())), Left(), IfFood(yes_food=IfFood(yes_food=Move(), no_food=Right()), no_food=IfFood(yes_food=IfFood(yes_food=Left(), no_food=Right()), no_food=Right())), IfFood(yes_food=Move(), no_food=Left()), Right(), Left(), Left(), Left(), IfFood(yes_food=IfFood(yes_food=Right(), no_food=Move()), no_food=Left()), IfFood(yes_food=Move(), no_food=Move()), Move(), Right(), IfFood(yes_food=Move(), no_food=Left()), IfFood(yes_food=Right(), no_food=Left()), Left(), IfFood(yes_food=Move(), no_food=Right()), Right()])","{<class 'examples.santafe.ActionBlock'>: 1, <class 'examples.santafe.Right'>: 0, <class 'examples.santafe.Action'>: 0, <class 'examples.santafe.Move'>: 0, <class 'examples.santafe.ActionMain'>: 1, <class 'examples.santafe.IfFood'>: 0, <class 'examples.santafe.Left'>: 0}"
6.0,2,2,12,0.6324887275695801,7,"ActionBlock(actions=[Move(), Move(), Left(), Move(), Move(), Right(), Move(), Left(), Right(), Left(), Left(), Left(), Move(), Right(), IfFood(yes_food=Left(), no_food=Right()), Move(), Right(), Move(), Left(), Right(), Move()])","{<class 'examples.santafe.ActionBlock'>: 1, <class 'examples.santafe.Right'>: 0, <class 'examples.santafe.Action'>: 0, <class 'examples.santafe.Move'>: 0, <class 'examples.santafe.ActionMain'>: 1, <class 'examples.santafe.IfFood'>: 0, <class 'examples.santafe.Left'>: 0}"
6.0,2,2,13,0.6909937858581543,7,"ActionBlock(actions=[Move(), Move(), Left(), Move(), Move(), Right(), Move(), Left(), Right(), Left(), Left(), Left(), Move(), Right(), IfFood(yes_food=Left(), no_food=Right()), Move(), Right(), Move(), Left(), Right(), Move()])","{<class 'examples.santafe.ActionBlock'>: 1, <class 'examples.santafe.Right'>: 0, <class 'examples.santafe.Action'>: 0, <class 'examples.santafe.Move'>: 0, <class 'examples.santafe.ActionMain'>: 1, <class 'examples.santafe.IfFood'>: 0, <class 'examples.santafe.Left'>: 0}"
6.0,2,2,14,0.7310175895690918,7,"ActionBlock(actions=[Move(), Move(), Left(), Move(), Move(), Right(), Move(), Left(), Right(), Left(), Left(), Left(), Move(), Right(), IfFood(yes_food=Left(), no_food=Right()), Move(), Right(), Move(), Left(), Right(), Move()])","{<class 'examples.santafe.ActionBlock'>: 1, <class 'examples.santafe.Right'>: 0, <class 'examples.santafe.Action'>: 0, <class 'examples.santafe.Move'>: 0, <class 'examples.santafe.ActionMain'>: 1, <class 'examples.santafe.IfFood'>: 0, <class 'examples.santafe.Left'>: 0}"
6.0,2,2,15,0.7843804359436035,7,"ActionBlock(actions=[Move(), Move(), Left(), Move(), Move(), Right(), Move(), Left(), Right(), Left(), Left(), Left(), Move(), Right(), IfFood(yes_food=Left(), no_food=Right()), Move(), Right(), Move(), Left(), Right(), Move()])","{<class 'examples.santafe.ActionBlock'>: 1, <class 'examples.santafe.Right'>: 0, <class 'examples.santafe.Action'>: 0, <class 'examples.santafe.Move'>: 0, <class 'examples.santafe.ActionMain'>: 1, <class 'examples.santafe.IfFood'>: 0, <class 'examples.santafe.Left'>: 0}"
6.0,2,2,16,0.8365223407745361,7,"ActionBlock(actions=[Move(), Move(), Left(), Move(), Move(), Right(), Move(), Left(), Right(), Left(), Left(), Left(), Move(), Right(), IfFood(yes_food=Left(), no_food=Right()), Move(), Right(), Move(), Left(), Right(), Move()])","{<class 'examples.santafe.ActionBlock'>: 1, <class 'examples.santafe.Right'>: 0, <class 'examples.santafe.Action'>: 0, <class 'examples.santafe.Move'>: 0, <class 'examples.santafe.ActionMain'>: 1, <class 'examples.santafe.IfFood'>: 0, <class 'examples.santafe.Left'>: 0}"
6.0,2,2,17,0.8775515556335449,7,"ActionBlock(actions=[Move(), Move(), Left(), Move(), Move(), Right(), Move(), Left(), Right(), Left(), Left(), Left(), Move(), Right(), IfFood(yes_food=Left(), no_food=Right()), Move(), Right(), Move(), Left(), Right(), Move()])","{<class 'examples.santafe.ActionBlock'>: 1, <class 'examples.santafe.Right'>: 0, <class 'examples.santafe.Action'>: 0, <class 'examples.santafe.Move'>: 0, <class 'examples.santafe.ActionMain'>: 1, <class 'examples.santafe.IfFood'>: 0, <class 'examples.santafe.Left'>: 0}"
6.0,2,2,18,0.9159984588623047,7,"ActionBlock(actions=[Move(), Move(), Left(), Move(), Move(), Right(), Move(), Left(), Right(), Left(), Left(), Left(), Move(), Right(), IfFood(yes_food=Left(), no_food=Right()), Move(), Right(), Move(), Left(), Right(), Move()])","{<class 'examples.santafe.ActionBlock'>: 1, <class 'examples.santafe.Right'>: 0, <class 'examples.santafe.Action'>: 0, <class 'examples.santafe.Move'>: 0, <class 'examples.santafe.ActionMain'>: 1, <class 'examples.santafe.IfFood'>: 0, <class 'examples.santafe.Left'>: 0}"
6.0,2,2,19,0.9633114337921143,7,"ActionBlock(actions=[Move(), Move(), Left(), Move(), Move(), Right(), Move(), Left(), Right(), Left(), Left(), Left(), Move(), Right(), IfFood(yes_food=Left(), no_food=Right()), Move(), Right(), Move(), Left(), Right(), Move()])","{<class 'examples.santafe.ActionBlock'>: 1, <class 'examples.santafe.Right'>: 0, <class 'examples.santafe.Action'>: 0, <class 'examples.santafe.Move'>: 0, <class 'examples.santafe.ActionMain'>: 1, <class 'examples.santafe.IfFood'>: 0, <class 'examples.santafe.Left'>: 0}"
6.0,2,2,20,1.0159757137298584,7,"ActionBlock(actions=[Move(), Move(), Left(), Move(), Move(), Right(), Move(), Left(), Right(), Left(), Left(), Left(), Move(), Right(), IfFood(yes_food=Left(), no_food=Right()), Move(), Right(), Move(), Left(), Right(), Move()])","{<class 'examples.santafe.ActionBlock'>: 1, <class 'examples.santafe.Right'>: 0, <class 'examples.santafe.Action'>: 0, <class 'examples.santafe.Move'>: 0, <class 'examples.santafe.ActionMain'>: 1, <class 'examples.santafe.IfFood'>: 0, <class 'examples.santafe.Left'>: 0}"
6.0,2,2,21,1.0619196891784668,7,"ActionBlock(actions=[Move(), Move(), Left(), Move(), Move(), Right(), Move(), Left(), Right(), Left(), Left(), Left(), Move(), Right(), IfFood(yes_food=Left(), no_food=Right()), Move(), Right(), Move(), Left(), Right(), Move()])","{<class 'examples.santafe.ActionBlock'>: 1, <class 'examples.santafe.Right'>: 0, <class 'examples.santafe.Action'>: 0, <class 'examples.santafe.Move'>: 0, <class 'examples.santafe.ActionMain'>: 1, <class 'examples.santafe.IfFood'>: 0, <class 'examples.santafe.Left'>: 0}"
6.0,2,2,22,1.113649606704712,7,"ActionBlock(actions=[Move(), Move(), Left(), Move(), Move(), Right(), Move(), Left(), Right(), Left(), Left(), Left(), Move(), Right(), IfFood(yes_food=Left(), no_food=Right()), Move(), Right(), Move(), Left(), Right(), Move()])","{<class 'examples.santafe.ActionBlock'>: 1, <class 'examples.santafe.Right'>: 0, <class 'examples.santafe.Action'>: 0, <class 'examples.santafe.Move'>: 0, <class 'examples.santafe.ActionMain'>: 1, <class 'examples.santafe.IfFood'>: 0, <class 'examples.santafe.Left'>: 0}"
6.0,2,2,23,1.1588759422302246,7,"ActionBlock(actions=[Move(), Move(), Left(), Move(), Move(), Right(), Move(), Left(), Right(), Left(), Left(), Left(), Move(), Right(), IfFood(yes_food=Left(), no_food=Right()), Move(), Right(), Move(), Left(), Right(), Move()])","{<class 'examples.santafe.ActionBlock'>: 1, <class 'examples.santafe.Right'>: 0, <class 'examples.santafe.Action'>: 0, <class 'examples.santafe.Move'>: 0, <class 'examples.santafe.ActionMain'>: 1, <class 'examples.santafe.IfFood'>: 0, <class 'examples.santafe.Left'>: 0}"
